Company Name,Industry,Symbol,Series
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE.NS,EQ
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE.NS,EQ
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK.NS,EQ
Go Digit General Insurance Ltd.,Financial Services,GODIGIT.NS,EQ
Godawari Power & Ispat Ltd.,Capital Goods,GPIL.NS,EQ
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP.NS,EQ
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO.NS,EQ
Granules India Ltd.,Healthcare,GRANULES.NS,EQ
Graphite India Ltd.,Capital Goods,GRAPHITE.NS,EQ
Great Eastern Shipping Co. Ltd.,Services,GESHIP.NS,EQ
Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL.NS,EQ
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD.NS,EQ
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC.NS,EQ
Gujarat Pipavav Port Ltd.,Services,GPPL.NS,EQ
Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,GSFC.NS,EQ
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL.NS,EQ
H.E.G. Ltd.,Capital Goods,HEG.NS,EQ
HBL Power Systems Ltd.,Automobile and Auto Components,HBLPOWER.NS,EQ
HFCL Ltd.,Telecommunication,HFCL.NS,EQ
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS.NS,EQ
Himadri Speciality Chemical Ltd.,Chemicals,HSCL.NS,EQ
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER.NS,EQ
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST.NS,EQ
Honasa Consumer Ltd.,Fast Moving Consumer Goods,HONASA.NS,EQ
ICICI Securities Ltd.,Financial Services,ISEC.NS,EQ
IFCI Ltd.,Financial Services,IFCI.NS,EQ
IIFL Finance Ltd.,Financial Services,IIFL.NS,EQ
INOX India Ltd.,Capital Goods,INOXINDIA.NS,EQ
IRCON International Ltd.,Construction,IRCON.NS,EQ
ITI Ltd.,Telecommunication,ITI.NS,EQ
Indegene Ltd.,Healthcare,INDGN.NS,EQ
India Cements Ltd.,Construction Materials,INDIACEM.NS,EQ
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART.NS,EQ
Indian Energy Exchange Ltd.,Financial Services,IEX.NS,EQ
Inox Wind Ltd.,Capital Goods,INOXWIND.NS,EQ
Intellect Design Arena Ltd.,Information Technology,INTELLECT.NS,EQ
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM.NS,EQ
JBM Auto Ltd.,Automobile and Auto Components,JBMA.NS,EQ
JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI.NS,EQ
JK Tyre & Industries Ltd.,Automobile and Auto Components,JKTYRE.NS,EQ
JM Financial Ltd.,Financial Services,JMFINANCIL.NS,EQ
Jaiprakash Power Ventures Ltd.,Power,JPPOWER.NS,EQ
Jammu & Kashmir Bank Ltd.,Financial Services,J&KBANK.NS,EQ
Jindal Saw Ltd.,Capital Goods,JINDALSAW.NS,EQ
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA.NS,EQ
Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA.NS,EQ
Jupiter Wagons Ltd.,Capital Goods,JWL.NS,EQ
Justdial Ltd.,Consumer Services,JUSTDIAL.NS,EQ
Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB.NS,EQ
Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC.NS,EQ
KNR Constructions Ltd.,Construction,KNRCON.NS,EQ
KSB Ltd.,Capital Goods,KSB.NS,EQ
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER.NS,EQ
Kalpataru Projects International Ltd.,Construction,KPIL.NS,EQ
Kansai Nerolac Paints Ltd.,Consumer Durables,KANSAINER.NS,EQ
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA.NS,EQ
Kaynes Technology India Ltd.,Capital Goods,KAYNES.NS,EQ
Kec International Ltd.,Construction,KEC.NS,EQ
Kfin Technologies Ltd.,Financial Services,KFINTECH.NS,EQ
Kirloskar Brothers Ltd.,Capital Goods,KIRLOSBROS.NS,EQ
Kirloskar Oil Eng Ltd.,Capital Goods,KIRLOSENG.NS,EQ
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS.NS,EQ
Latent View Analytics Ltd.,Information Technology,LATENTVIEW.NS,EQ
Laurus Labs Ltd.,Healthcare,LAURUSLABS.NS,EQ
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE.NS,EQ
MMTC Ltd.,Services,MMTC.NS,EQ
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL.NS,EQ
Maharashtra Seamless Ltd.,Capital Goods,MAHSEAMLES.NS,EQ
Mahindra Lifespace Developers Ltd.,Realty,MAHLIFE.NS,EQ
Manappuram Finance Ltd.,Financial Services,MANAPPURAM.NS,EQ
Mastek Ltd.,Information Technology,MASTEK.NS,EQ
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS.NS,EQ
Minda Corporation Ltd.,Automobile and Auto Components,MINDACORP.NS,EQ
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS.NS,EQ
Multi Commodity Exchange of India Ltd.,Financial Services,MCX.NS,EQ
NATCO Pharma Ltd.,Healthcare,NATCOPHARM.NS,EQ
NBCC (India) Ltd.,Construction,NBCC.NS,EQ
