,Date,dma_ml,rf_ta,hmm,ff_ta,impulse,ta_50,kalman_filter
129,02-09-2020,1,1,1,0,0,1,1
130,03-09-2020,1,1,1,0,-1,1,1
131,04-09-2020,-1,1,1,0,-1,1,1
132,07-09-2020,-1,0,1,0,-1,1,1
133,08-09-2020,-1,0,1,0,-1,1,1
134,09-09-2020,-1,1,1,0,1,1,1
135,10-09-2020,-1,1,1,0,1,1,1
136,11-09-2020,-1,1,1,0,1,1,1
137,14-09-2020,-1,1,1,0,1,1,1
138,15-09-2020,-1,1,1,0,1,1,1
139,16-09-2020,1,1,1,0,1,1,1
140,17-09-2020,-1,1,1,0,0,1,1
141,18-09-2020,1,0,1,0,-1,1,1
142,21-09-2020,-1,0,1,0,-1,-1,-1
143,22-09-2020,-1,0,1,0,-1,-1,-1
144,23-09-2020,-1,0,-1,0,-1,-1,-1
145,24-09-2020,-1,0,-1,0,0,-1,-1
146,25-09-2020,-1,0,1,0,0,1,-1
147,28-09-2020,-1,0,1,0,0,1,-1
148,29-09-2020,-1,0,1,0,1,1,-1
149,30-09-2020,-1,0,1,0,1,1,-1
150,01-10-2020,1,1,1,0,1,1,1
151,05-10-2020,1,1,1,0,1,1,-1
152,06-10-2020,1,1,1,0,1,1,1
153,07-10-2020,1,1,1,0,1,1,1
154,08-10-2020,1,1,1,0,1,1,1
155,09-10-2020,1,1,1,0,1,1,1
156,12-10-2020,1,1,1,0,0,1,1
157,13-10-2020,1,1,1,0,0,1,1
158,14-10-2020,1,1,1,0,-1,1,1
159,15-10-2020,-1,1,1,0,0,1,1
160,16-10-2020,1,1,1,0,0,1,1
161,19-10-2020,1,1,1,0,0,1,1
162,20-10-2020,1,1,1,0,0,1,1
163,21-10-2020,1,1,1,0,0,1,1
164,22-10-2020,1,1,1,0,0,1,1
165,23-10-2020,1,1,1,0,-1,1,1
166,26-10-2020,-1,1,1,0,0,1,1
167,27-10-2020,1,1,1,0,-1,1,1
168,28-10-2020,-1,0,1,0,-1,1,1
169,29-10-2020,-1,0,1,0,-1,1,1
170,30-10-2020,-1,0,1,0,-1,1,1
171,02-11-2020,-1,1,1,0,1,1,1
172,03-11-2020,1,1,1,0,1,1,1
173,04-11-2020,1,1,1,0,1,1,1
174,05-11-2020,1,1,1,0,1,1,1
175,06-11-2020,1,1,1,0,1,1,1
176,09-11-2020,1,1,1,0,1,1,1
177,10-11-2020,1,1,1,0,1,1,1
178,11-11-2020,1,1,1,0,1,1,1
179,12-11-2020,1,1,1,0,0,1,1
180,13-11-2020,1,1,1,0,1,1,1
181,17-11-2020,1,1,1,0,0,1,1
182,18-11-2020,1,1,1,0,0,1,1
183,19-11-2020,1,1,1,0,0,1,1
184,20-11-2020,1,1,1,0,0,1,1
185,23-11-2020,1,1,1,0,0,1,1
186,24-11-2020,1,1,1,0,0,1,1
187,25-11-2020,1,1,1,0,0,1,1
188,26-11-2020,1,1,1,0,0,1,1
189,27-11-2020,1,1,1,0,0,1,1
190,01-12-2020,1,1,1,0,0,1,1
191,02-12-2020,1,1,1,0,0,1,1
192,03-12-2020,1,1,1,0,1,1,1
193,04-12-2020,1,1,1,0,1,1,1
194,07-12-2020,1,1,1,0,1,1,1
195,08-12-2020,1,1,1,0,1,1,1
196,09-12-2020,1,1,1,0,0,1,1
197,10-12-2020,1,1,1,0,0,1,1
198,11-12-2020,1,1,1,0,0,1,1
199,14-12-2020,1,1,1,0,0,1,1
200,15-12-2020,1,1,1,0,1,1,1
201,16-12-2020,1,1,1,0,1,1,1
202,17-12-2020,1,1,1,0,0,1,1
203,18-12-2020,1,1,-1,0,-1,1,1
204,21-12-2020,-1,1,1,0,0,1,1
205,22-12-2020,-1,1,1,0,0,1,1
206,23-12-2020,1,1,1,0,1,1,1
207,24-12-2020,1,1,1,0,1,1,1
208,28-12-2020,1,1,1,0,1,1,1
209,29-12-2020,1,1,1,0,1,1,1
210,30-12-2020,1,1,1,0,1,1,1
211,31-12-2020,1,1,1,0,1,1,1
212,04-01-2021,1,1,1,0,1,1,1
213,05-01-2021,1,1,1,0,0,1,1
214,06-01-2021,1,1,1,0,0,1,1
215,07-01-2021,1,1,1,0,1,1,1
216,08-01-2021,1,1,1,0,1,1,1
217,11-01-2021,1,1,1,0,1,1,1
218,12-01-2021,1,1,1,0,1,1,1
219,13-01-2021,1,1,1,0,0,1,1
220,14-01-2021,1,1,1,0,0,1,1
221,15-01-2021,1,1,1,0,0,1,1
222,18-01-2021,1,1,1,0,0,1,1
223,19-01-2021,1,1,1,0,1,1,1
224,20-01-2021,1,1,1,0,0,1,1
225,22-01-2021,1,1,1,0,-1,1,1
226,25-01-2021,-1,1,1,0,-1,1,1
227,27-01-2021,-1,1,1,0,-1,1,1
228,28-01-2021,-1,0,1,0,-1,1,-1
229,29-01-2021,-1,0,1,0,-1,-1,-1
230,01-02-2021,-1,1,-1,0,1,1,-1
231,02-02-2021,-1,1,-1,0,1,1,-1
232,03-02-2021,1,1,1,0,1,1,-1
233,04-02-2021,1,1,1,0,1,1,1
234,05-02-2021,1,1,1,0,1,1,1
235,08-02-2021,1,1,1,0,1,1,1
236,09-02-2021,1,1,1,0,1,1,1
237,10-02-2021,1,1,1,0,0,1,1
238,11-02-2021,1,1,1,0,0,1,1
239,12-02-2021,1,1,1,0,0,1,1
240,15-02-2021,1,1,1,0,1,1,1
241,16-02-2021,1,1,1,0,0,1,1
