Scrip Code,Company,LTP,Change Val,Pts Contribution
532767,GAYAPROJ,39.65,1.75,0.3
543248,BURGERKING,168.6,2.35,0.3
502168,NCLIND,247.15,6.75,0.29
500106,IFCI,14.15,0.22,0.29
539597,JSLHISAR,230.75,1.8,0.29
533262,RAMKY,190.4,9.05,0.28
532636,IIFL,267.9,1.2,0.28
541770,CREDITACC,746.2,5.3,0.27
500380,JKLAKSHMI,656,2.55,0.27
532382,BALAJITELE,71.25,2.35,0.26
500339,RAIN,232.6,0.85,0.26
506579,ORIENTCQ,1107.2,30.95,0.25
500235,KSL,407.15,10.1,0.25
542337,SPENCER,98.45,3.55,0.24
542857,GREENPANEL,246.9,2.5,0.24
517385,SYMPHONY,1071.9,8.55,0.24
539404,SATIN,93.65,4.4,0.23
532553,WELENT,112.55,1.95,0.23
500215,ATFL,959.8,12.65,0.23
500144,FINCABLES,538.95,1.8,0.23
500055,TATASTLBSL,89.55,0.65,0.22
532927,ECLERX,2238.1,7.8,0.21
531978,AMBIKCO,1405,41.6,0.2
543252,FAIRCHEMOR,1531.9,35.4,0.2
519588,DFM,405.25,9.1,0.2
506767,ALKYLAMINE,3769.7,9.3,0.2
524494,IPCALAB,2097.95,1.75,0.2
540544,PSPPROJECT,472.2,11.65,0.18
505526,DOLAT,107.2,2.35,0.18
526829,CONFIPET,63.15,0.85,0.18
523319,BALMLAWRIE,139.95,1.65,0.18
500227,JINDALPOLY,1001.25,9.75,0.18
507717,DHANUKA,1001.65,9.35,0.18
508486,HAWKINCOOK,5939.3,48.3,0.18
532652,KTKBANK,62.55,0.35,0.18
531082,ALANKIT,21.7,2.85,0.17
540824,ASTRON,71.5,3.95,0.17
532366,PNBGILTS,75.15,2.15,0.17
500110,CHENNPETRO,135.3,2.1,0.17
532762,ACE,231.9,3.25,0.17
517146,USHAMART,56,0.7,0.17
532622,GDL,283.9,1.2,0.17
539276,KAYA,510.9,18.75,0.16
543253,BECTORFOOD,438.9,7.7,0.16
514183,BLACKROSE,196,7.5,0.15
532783,DAAWAT,80.15,0.7,0.15
539332,NAVKARCORP,51.9,1.8,0.14
500199,IGPL,691.45,8.95,0.14
532309,GEPIL,336.85,4.15,0.14
526596,LIBERTSHOE,181.95,12.15,0.13
526881,63MOONS,94.5,3.25,0.13
532768,FIEMIND,793.15,17.55,0.13
509055,VISAKAIND,764.2,8.55,0.13
540025,ADVENZYMES,414.2,1.75,0.13
532605,JBMA,501.7,10.3,0.12
539787,HCG,239.7,1.75,0.12
