Scrip Code	Company	LTP	Change Val	Pts Contribution
540073	BLS	135.70	-2.60	-0.03
540902	AMBER	3030.35	-4.35	-0.04
500710	AKZOINDIA	2283.80	-6.90	-0.04
532706	INOXLEISUR	311.90	-1.55	-0.04
505726	IFBIND	1033.40	-8.00	-0.04
500280	CENTENKA	454.05	-4.65	-0.04
522249	MAYURUNIQ	491.75	-5.05	-0.04
543212	BOROLTD	223.40	-2.65	-0.04
532630	GOKEX	206.75	-3.10	-0.04
513349	AJMERA	307.95	-9.80	-0.04
520066	JAYBARMARU	219.65	-7.95	-0.04
515043	SAINTGOBAIN	69.35	-3.65	-0.04
500238	WHIRLPOOL	2196.50	-3.50	-0.05
532798	NETWORK18	51.50	-0.50	-0.05
515055	ANANTRAJ	71.10	-1.05	-0.05
520057	JTEKTINDIA	113.70	-1.90	-0.05
533156	VASCONEQ	22.50	-1.05	-0.05
500101	ARVIND	107.75	-0.95	-0.06
542399	CHALET	182.70	-2.15	-0.06
535602	SHARDA	623.80	-16.25	-0.06
540124	GNA	522.75	-19.30	-0.06
513262	SSWL	1214.60	-45.00	-0.06
540203	SFL	2368.75	-12.90	-0.07
532313	MAHLIFE	692.15	-5.95	-0.07
532839	DISHTV	14.37	-0.18	-0.07
542484	ARVINDFASN	176.80	-3.15	-0.07
523025	SAFARIND	763.85	-17.60	-0.07
538268	WONDERLA	240.10	-8.65	-0.07
505533	WESTLIFE	532.10	-2.85	-0.08
502219	BORORENEW	288.20	-3.65	-0.08
538962	MINDACORP	142.75	-2.65	-0.08
503310	SWANENERGY	141.55	-2.90	-0.08
540293	PRICOLLTD	101.30	-2.30	-0.08
500168	GOODYEAR	1274.60	-31.10	-0.08
521248	KITEX	175.35	-8.30	-0.08
500840	EIHOTEL	116.00	-1.05	-0.09
520051	JAMNAAUTO	86.65	-1.00	-0.09
509243	TVSSRICHAK	2225.20	-50.55	-0.09
543249	TARC	47.00	-2.30	-0.10
507880	VIPIND	406.65	-3.70	-0.11
512179	SUNTECK	366.70	-5.25	-0.11
532800	TV18BRDCST	41.95	-0.45	-0.13
