Date,Implied Vol,Hist. Vol (30D),Hist. Vol (100D),IV–RV Spread,IV Percentile
02-05-2025,18.26,19.75,9.56,–11.59,89.68
05-05-2025,18.34,19.81,9.63,–10.21,89.68
06-05-2025,19,19.2,10.12,–7.37,91.27
07-05-2025,19.06,19.17,9.37,–4.85,91.27
08-05-2025,21.01,19.33,7.1,–1.58,95.24
09-05-2025,21.63,18.63,8.4,3.14,96.43
12-05-2025,18.39,18.94,26.7,4.04,88.1
13-05-2025,18.2,19.95,29.26,2.49,86.11
14-05-2025,17.23,19.58,29.1,0.21,84.13
15-05-2025,16.89,19.19,29.78,–3.92,82.09
16-05-2025,16.55,18.54,29.84,–9.29,80.16
19-05-2025,17.36,18.72,29.33,–10.16,85.32
20-05-2025,17.39,18.31,29.25,–9.41,86.31
21-05-2025,17.55,17.95,15.39,–7.45,86.9
22-05-2025,17.26,18.19,12.34,–6.08,85.32
23-05-2025,17.28,18.34,13.46,–5.08,85.71
26-05-2025,18.02,18.37,10.53,–4.00,88.1
27-05-2025,18.54,18.49,11.26,–2.95,91.27
28-05-2025,18.02,18.09,11.26,–2.58,88.29
29-05-2025,16.42,18.09,10.26,–3.40,79.96
30-05-2025,16.08,18.09,10.25,–4.46,76.59
02-06-2025,17.16,18.1,9.02,–5.13,85.52
03-06-2025,16.56,18.14,7.78,–6.93,81.35
04-06-2025,15.75,18.05,6.41,–9.40,74.01
05-06-2025,15.08,18.13,6.46,–10.92,64.88
06-06-2025,14.63,18.08,7.83,–12.52,58.33
09-06-2025,14.69,17.71,7.88,–10.89,60.32
10-06-2025,14.02,11.21,8.07,–8.14,38.49
11-06-2025,13.67,9.48,7.7,–3.24,26.79
12-06-2025,14.02,10.32,10.08,13.78,39.09
13-06-2025,15.08,9.38,11.67,29.74,67.06
16-06-2025,14.84,10.19,13.1,42.27,63.49

