time,open,high,low,close,"IN10, TVC: Open","IN10, TVC: High","IN10, TVC: Low","IN10, TVC: Close",Volume,Volume MA
1514778300,10531.7,10537.85,10423.1,10435.55,97.8,98.425,97.8,98.25,NaN,NaN
1514864700,10477.55,10495.2,10404.65,10442.2,98.251,98.355,97.886,97.886,NaN,NaN
1514951100,10482.65,10503.6,10429.55,10443.2,97.849,98.158,97.849,97.85,NaN,NaN
1515037500,10469.4,10513,10441.45,10504.8,97.777,98.371,97.551,97.551,NaN,NaN
1515123900,10534.25,10566.1,10520.1,10558.85,97.777,98.371,97.551,97.551,NaN,NaN
1515383100,10591.7,10631.2,10588.55,10623.6,97.82,98.121,97.82,97.86,NaN,NaN
1515469500,10645.1,10659.15,10603.6,10637,97.573,97.899,97.573,97.624,NaN,NaN
1515555900,10652.05,10655.5,10592.7,10632.2,97.39,97.488,97.2,97.2,NaN,NaN
1515642300,10637.05,10664.6,10612.35,10651.2,97.201,97.311,97.11,97.11,NaN,NaN
1515728700,10682.55,10690.4,10597.1,10681.25,97.129,97.201,97.129,97.159,NaN,NaN
1515987900,10718.5,10782.65,10713.8,10741.55,97.144,97.208,97.144,97.175,NaN,NaN
1516074300,10761.5,10762.35,10687.85,10700.45,96.979,96.979,96.192,96.192,NaN,NaN
1516160700,10702.45,10803,10666.75,10788.55,96.073,96.894,96.073,96.85,NaN,NaN
1516247100,10873.4,10887.5,10782.4,10817,96.85,96.85,95.797,95.797,NaN,NaN
1516333500,10829.2,10906.85,10793.9,10894.7,95.795,96.11,95.795,96.07,NaN,NaN
1516592700,10883.2,10975.1,10881.4,10966.2,95.773,96.658,95.773,96.65,NaN,NaN
1516679100,10997.4,11092.9,10994.55,11083.7,96.588,97.066,96.47,96.47,NaN,NaN
1516765500,11069.35,11110.1,11046.15,11086,96.389,96.678,96.2,96.2,NaN,NaN
1516851900,11095.6,11095.6,11009.2,11069.65,96.092,96.446,96.092,96.246,NaN,NaN
1517197500,11079.35,11171.55,11075.95,11130.4,96.3,96.3,95.5,95.5,NaN,NaN
1517283900,11120.85,11121.1,11033.9,11049.65,95.359,96.446,95.359,95.497,NaN,NaN
1517370300,11018.8,11058.5,10979.3,11027.7,95.939,96.24,95.8,95.8,NaN,NaN
1517456700,11044.55,11117.35,10878.8,11016.9,95.786,95.786,94.825,94.825,NaN,NaN
1517543100,10938.2,10954.95,10736.1,10760.6,94.827,95.16,94.827,95.139,NaN,NaN
1517802300,10604.3,10702.75,10586.8,10666.55,95.103,95.103,94.932,94.932,NaN,NaN
1517888700,10295.15,10594.15,10276.3,10498.25,94.947,95.707,94.7,94.7,NaN,NaN
1517975100,10607.2,10614,10446.4,10476.7,94.7,95.039,94,94,NaN,NaN
1518061500,10518.5,10637.8,10479.55,10576.85,93.999,95.607,93.999,95.257,NaN,NaN
1518147900,10416.5,10480.2,10398.2,10454.95,95.272,95.731,95.272,95.5,NaN,NaN
1518407100,10518.2,10555.5,10485.4,10539.75,95.5,95.5,95.25,95.25,NaN,NaN
1518579900,10585.75,10590.55,10456.65,10500.9,95.21,95.804,95.21,95.35,NaN,NaN
1518666300,10537.9,10618.1,10511.05,10545.5,95.171,95.599,94.921,94.921,NaN,NaN
