time,open,high,low,close,"INDIAVIX, NSE: Open","INDIAVIX, NSE: High","INDIAVIX, NSE: Low","INDIAVIX, NSE: Close",Volume,Volume MA
1514778300,10531.7,10537.85,10423.1,10435.55,12.67,13.6125,12.545,13.3525,NaN,NaN
1514864700,10477.55,10495.2,10404.65,10442.2,13.3525,13.8425,12.605,13.685,NaN,NaN
1514951100,10482.65,10503.6,10429.55,10443.2,13.685,13.715,12.765,13.6225,NaN,NaN
1515037500,10469.4,10513,10441.45,10504.8,13.6225,13.7925,12.1825,13.415,NaN,NaN
1515123900,10534.25,10566.1,10520.1,10558.85,13.415,13.415,12.42,13.1125,NaN,NaN
1515383100,10591.7,10631.2,10588.55,10623.6,13.1125,13.855,11.8125,13.735,NaN,NaN
1515469500,10645.1,10659.15,10603.6,10637,13.735,14.13,12.25,13.8475,NaN,NaN
1515555900,10652.05,10655.5,10592.7,10632.2,13.8475,14.2275,12.5175,14.035,NaN,NaN
1515642300,10637.05,10664.6,10612.35,10651.2,14.035,14.2775,12.985,14.0125,NaN,NaN
1515728700,10682.55,10690.4,10597.1,10681.25,14.0125,14.5525,11.92,13.7325,NaN,NaN
1515987900,10718.5,10782.65,10713.8,10741.55,13.7325,14.475,11.8125,14.305,NaN,NaN
1516074300,10761.5,10762.35,10687.85,10700.45,14.305,14.585,12.3475,14.085,NaN,NaN
1516160700,10702.45,10803,10666.75,10788.55,14.085,14.445,10.345,13.86,NaN,NaN
1516247100,10873.4,10887.5,10782.4,10817,13.86,14.22,11.655,13.96,NaN,NaN
1516333500,10829.2,10906.85,10793.9,10894.7,13.96,14.195,10.75,13.9825,NaN,NaN
1516592700,10883.2,10975.1,10881.4,10966.2,13.9825,15.59,12.0675,15.3925,NaN,NaN
1516679100,10997.4,11092.9,10994.55,11083.7,15.3925,16.297501,14.11,16.225,NaN,NaN
1516765500,11069.35,11110.1,11046.15,11086,16.225,18.495001,14.64,18.040001,NaN,NaN
1516851900,11095.6,11095.6,11009.2,11069.65,18.040001,18.235001,17.035,17.5075,NaN,NaN
1517197500,11079.35,11171.55,11075.95,11130.4,17.5075,18.485001,16.362499,17.887501,NaN,NaN
1517283900,11120.85,11121.1,11033.9,11049.65,17.887501,18.004999,16.15,16.415001,NaN,NaN
1517370300,11018.8,11058.5,10979.3,11027.7,16.415001,16.415001,14.2875,15.93,NaN,NaN
1517456700,11044.55,11117.35,10878.8,11016.9,15.93,16.772499,13.9025,14.1075,NaN,NaN
1517543100,10938.2,10954.95,10736.1,10760.6,14.1075,15.49,11.4975,15.25,NaN,NaN
1517802300,10604.3,10702.75,10586.8,10666.55,15.25,18.334999,15.08,16.0525,NaN,NaN
1517888700,10295.15,10594.15,10276.3,10498.25,16.0525,23.157499,16.0525,20.014999,NaN,NaN
1517975100,10607.2,10614,10446.4,10476.7,20.014999,20.014999,16.797501,19.465,NaN,NaN
1518061500,10518.5,10637.8,10479.55,10576.85,19.465,24.035,15.2625,17.772499,NaN,NaN
1518147900,10416.5,10480.2,10398.2,10454.95,17.772499,20.422501,15.15,19.23,NaN,NaN
1518407100,10518.2,10555.5,10485.4,10539.75,19.23,19.23,16.567499,17.8825,NaN,NaN
1518579900,10585.75,10590.55,10456.65,10500.9,17.8825,17.8825,15.52,17.184999,NaN,NaN
1518666300,10537.9,10618.1,10511.05,10545.5,17.184999,17.184999,14.085,16.315001,NaN,NaN
1518752700,10596.2,10612.9,10434.05,10452.3,16.315001,16.9725,12.57,16.377501,NaN,NaN
1519011900,10488.9,10489.35,10302.75,10378.4,16.377501,18.035,13.955,16.6675,NaN,NaN
1519098300,10391,10429.35,10347.65,10360.4,16.6675,17.5375,16.327499,16.8675,NaN,NaN
1519184700,10426,10426.1,10349.6,10397.45,16.8675,16.870001,15.725,15.92,NaN,NaN
1519271100,10354.35,10397.55,10340.65,10382.7,15.92,16.4575,14.5025,14.8325,NaN,NaN
1519357500,10408.1,10499.1,10396.65,10491.05,14.8325,14.8325,13.535,14.2025,NaN,NaN
1519616700,10526.55,10592.95,10520.2,10582.6,14.2025,14.325,13.53,13.695,NaN,NaN
1519703100,10615.2,10631.65,10537.25,10554.3,13.695,14.4225,12.4475,13.9225,NaN,NaN
1519789500,10488.95,10535.5,10461.55,10492.85,13.9225,14.4,12.525,13.805,NaN,NaN
1519875900,10479.95,10525.5,10447.15,10458.35,13.805,14.2525,12.405,14.0725,NaN,NaN
1520221500,10428.3,10428.7,10323.9,10358.85,14.0725,15.99,12.2325,15.395,NaN,NaN
1520307900,10420.5,10441.35,10215.9,10249.25,15.395,16.4475,13.16,16.245001,NaN,NaN
1520394300,10232.95,10243.35,10141.55,10154.2,16.245001,16.459999,13.4475,15.7,NaN,NaN
1520480700,10216.25,10270.35,10146.4,10242.65,15.7,15.7,12.485,14.585,NaN,NaN
1520567100,10271.3,10296.7,10211.9,10226.85,14.585,14.7625,12.905,14.525,NaN,NaN
1520826300,10301.6,10433.65,10295.45,10421.4,14.525,14.6625,12.01,14.4925,NaN,NaN
1520912700,10389.5,10478.6,10377.85,10426.85,14.4925,14.62,12.3875,14.4625,NaN,NaN
