time,open,high,low,close,"COPPER1!, MCX: Open","COPPER1!, MCX: High","COPPER1!, MCX: Low","COPPER1!, MCX: Close",Volume,Volume MA
1212983100,4626.4502,4626.4502,4411.6001,4500.9502,NaN,NaN,NaN,NaN,NaN,NaN
1213069500,4522,4522.5498,4369.7998,4449.7998,NaN,NaN,NaN,NaN,NaN,NaN
1213155900,4469.6499,4541.0498,4468.0498,4523.6001,NaN,NaN,NaN,NaN,NaN,NaN
1213242300,4524.3999,4550,4392,4539.3501,NaN,NaN,NaN,NaN,NaN,NaN
1213328700,4539.5,4563.3501,4491.3501,4517.1001,NaN,NaN,NaN,NaN,NaN,NaN
1213587900,4536.2998,4617.7002,4536.2998,4572.5,NaN,NaN,NaN,NaN,NaN,NaN
1213674300,4572.5,4664.0498,4561.75,4653,NaN,NaN,NaN,NaN,NaN,NaN
1213760700,4652.7998,4679.75,4569.8999,4582.3999,NaN,NaN,NaN,NaN,NaN,NaN
1213847100,4582.5498,4585.7002,4488.9502,4504.25,NaN,NaN,NaN,NaN,NaN,NaN
1213933500,4504.2002,4532,4333.6001,4347.5498,NaN,NaN,NaN,NaN,NaN,NaN
1214192700,4351.1499,4351.1499,4225.5,4266.3999,NaN,NaN,NaN,NaN,NaN,NaN
1214279100,4271.0498,4305.8999,4156.1001,4191.1001,NaN,NaN,NaN,NaN,NaN,NaN
1214365500,4189.6001,4264.5498,4093.2,4252.6499,NaN,NaN,NaN,NaN,NaN,NaN
1214451900,4252.6001,4324.75,4230,4315.8501,NaN,NaN,NaN,NaN,NaN,NaN
1214538300,4315.2998,4315.2998,4119.2002,4136.6499,NaN,NaN,NaN,NaN,NaN,NaN
1214797500,4136.25,4163,4021.7,4040.55,NaN,NaN,NaN,NaN,NaN,NaN
1214883900,4039.75,4075.3999,3878.2,3896.75,NaN,NaN,NaN,NaN,NaN,NaN
1214970300,3895.3,4107.1499,3848.25,4093.3501,NaN,NaN,NaN,NaN,NaN,NaN
1215056700,4094.6001,4097.3501,3874.8501,3925.75,NaN,NaN,NaN,NaN,NaN,NaN
