,Company Name,Market_Cap,weights,index
0,Rollatainers,80.04,0.16996156541311874,BOM502448
1,Scandent Imag,72.22,0.15335612511413585,BOM516110
2,AMD Industries,59.03,0.12534771622109442,BOM532828
3,Shetron,29.31,0.062238549253604565,BOM526137
4,Radha Madhav,22.09,0.04690718365786847,BOM532692
5,Rajasthan Cylin,4.91,0.010426177988236043,BOM538707
