,Company Name,Market_Cap,weights,index
0,Infibeam Avenue,6020.84,0.7652128380224675,BOM539807
1,Aditya Vision,1474.27,0.18737092012267112,BOM540205
2,Praxis Home Ret,149.35,0.018981493837845802,BOM540901
3,Bhatia Communic,100.56,0.012780575964739029,BOM540956
4,Archies,88.0,0.011184274909477272,BOM532212
5,Nyssa Corp,22.5,0.002859615743900439,BOM504378
6,7NR Retail,7.32,0.0009303283220156095,BOM540615
7,iStreet Network,5.35,0.0006799530768829932,BOM524622
