,Company Name,Market_Cap,weights
143,Zenith Fibres      ,28.54,0.00016510170994232768
144,White Organic      ,27.83,0.000160994414425192
145,Filatex Fashion      ,27.69,0.000160184525168292
146,Soma Textile      ,25.11,0.0001452594231482778
147,Sri Nachammai      ,24.88,0.00014392889079765638
148,Dhanlaxmi Fabri      ,22.91,0.00013253259196842072
149,Aditya Spinners      ,22.68,0.0001312020596177993
150,Virat Ind      ,22.45,0.00012987152726717788
151,Mohit Ind      ,22.23,0.00012859884414919218
152,Prag Bosimi      ,21.57,0.00012478079479523506
153,Vandana      ,19.79,0.00011448363138607795
154,Jarigold Text      ,18.3,0.00010586409572335658
155,Spenta Intl      ,18.18,0.000105169904931728
156,ST Corporation      ,18.09,0.00010464926183800658
157,Gokak Textiles      ,17.45,0.00010094691094932089
158,Betex      ,15.07,8.717879358202096e-05
159,Mohota Ind      ,14.69,8.498052274186382e-05
160,Valson Ind      ,14.4,8.330289499542813e-05
161,Spentex Ind      ,13.29,7.688163017286387e-05
162,Alps Industries      ,12.52,7.24272392599139e-05
163,Uniroyal      ,12.51,7.236939002727819e-05
164,Premier Synth      ,12.33,7.132810383983534e-05
165,Bhilwara Spin      ,12.17,7.040251611766391e-05
166,Shree Bhavya      ,11.86,6.860918990595677e-05
167,New Light Appar      ,9.44,5.4609675608113994e-05
168,Everlon Synth      ,8.97,5.189076167423544e-05
169,Subhash Silk      ,8.69,5.027098316043544e-05
170,Konark Synth      ,8.15,4.714712459810689e-05
171,ADINATH TEXTILE      ,7.48,4.3271226011514055e-05
172,Richa Ind      ,6.96,4.026306591445693e-05
173,LWS Knitwear      ,6.8,3.9337478192285506e-05
174,Minaxi Textiles      ,6.23,3.604007193204981e-05
175,Sybly Ind      ,6.03,3.488308727933553e-05
176,Rainbow Denim      ,4.57,2.643709931452129e-05
177,RLF      ,4.5,2.603215468607129e-05
178,Pasari Spinning      ,4.4,2.5453662359714153e-05
179,Gravity India      ,3.42,1.978443756141418e-05
180,Enterprise Intl      ,2.6,1.5040800485285635e-05
181,Kakatiya Tex      ,1.03,5.9584709614785395e-06
