,Company Name,Market_Cap,weights
0,Hitech Corp      ,401.14,0.5882508212106993
1,TPL Plastech      ,209.67,0.3074700844673862
2,Innovative Tech      ,44.26,0.06490497419052088
3,Pearl Polymers      ,26.85,0.039374120131393714
