,Company Name,Market_Cap,weights
0,SBI Gold ETF      ,324.97,0.6543503211646498
1,Birla Gold ETF      ,99.14,0.19962547570626019
2,Invesco G-ETF      ,49.14,0.09894690212029075
3,HDFC Gold ETF      ,6.55,0.013188893139761994
4,UTI - Gold      ,5.76,0.011598171677103678
5,Nippon ETF Gold      ,4.25,0.008557678754807401
6,Axis Gold ETF      ,3.17,0.006383021565350461
7,IPRU Gold ETF      ,1.98,0.003986871514004389
8,Kotak MF-GETF      ,1.67,0.0033626643577713785
